# festival_id, festival_name, festival_date, category, required_personnel
1, Pulse University 2024, 2024-04-02, security, 1
1, Pulse University 2024, 2024-04-02, support, 1
1, Pulse University 2024, 2024-04-02, technician, 4
1, Pulse University 2024, 2024-05-06, security, 1
1, Pulse University 2024, 2024-05-06, support, 1
1, Pulse University 2024, 2024-05-06, technician, 4
1, Pulse University 2024, 2024-07-28, security, 1
1, Pulse University 2024, 2024-07-28, support, 1
1, Pulse University 2024, 2024-07-28, technician, 3
1, Pulse University 2024, 2024-07-31, security, 1
1, Pulse University 2024, 2024-07-31, support, 1
1, Pulse University 2024, 2024-07-31, technician, 2
1, Pulse University 2024, 2024-10-12, security, 1
1, Pulse University 2024, 2024-10-12, support, 1
1, Pulse University 2024, 2024-10-12, technician, 5
1, Pulse University 2024, 2024-11-25, security, 1
1, Pulse University 2024, 2024-11-25, support, 1
1, Pulse University 2024, 2024-11-25, technician, 3
2, Pulse University 2023, 2023-01-28, security, 1
2, Pulse University 2023, 2023-01-28, support, 1
2, Pulse University 2023, 2023-01-28, technician, 2
2, Pulse University 2023, 2023-02-13, security, 1
2, Pulse University 2023, 2023-02-13, support, 1
2, Pulse University 2023, 2023-02-13, technician, 5
2, Pulse University 2023, 2023-03-22, security, 1
2, Pulse University 2023, 2023-03-22, support, 1
2, Pulse University 2023, 2023-03-22, technician, 5
2, Pulse University 2023, 2023-07-11, security, 1
2, Pulse University 2023, 2023-07-11, support, 1
2, Pulse University 2023, 2023-07-11, technician, 5
2, Pulse University 2023, 2023-08-06, security, 1
2, Pulse University 2023, 2023-08-06, support, 1
2, Pulse University 2023, 2023-08-06, technician, 5
2, Pulse University 2023, 2023-08-30, security, 1
2, Pulse University 2023, 2023-08-30, support, 1
2, Pulse University 2023, 2023-08-30, technician, 3
2, Pulse University 2023, 2023-09-07, security, 1
2, Pulse University 2023, 2023-09-07, support, 1
2, Pulse University 2023, 2023-09-07, technician, 5
2, Pulse University 2023, 2023-11-20, security, 1
2, Pulse University 2023, 2023-11-20, support, 1
2, Pulse University 2023, 2023-11-20, technician, 5
2, Pulse University 2023, 2023-12-05, security, 1
2, Pulse University 2023, 2023-12-05, support, 1
2, Pulse University 2023, 2023-12-05, technician, 4
3, Pulse University 2022, 2022-02-20, security, 1
3, Pulse University 2022, 2022-02-20, support, 1
3, Pulse University 2022, 2022-02-20, technician, 4
3, Pulse University 2022, 2022-08-04, security, 1
3, Pulse University 2022, 2022-08-04, support, 1
3, Pulse University 2022, 2022-08-04, technician, 4
3, Pulse University 2022, 2022-08-18, security, 1
3, Pulse University 2022, 2022-08-18, support, 1
3, Pulse University 2022, 2022-08-18, technician, 2
3, Pulse University 2022, 2022-09-05, security, 1
3, Pulse University 2022, 2022-09-05, support, 1
3, Pulse University 2022, 2022-09-05, technician, 3
3, Pulse University 2022, 2022-10-27, security, 1
3, Pulse University 2022, 2022-10-27, support, 1
3, Pulse University 2022, 2022-10-27, technician, 3
3, Pulse University 2022, 2022-11-02, security, 1
3, Pulse University 2022, 2022-11-02, support, 1
3, Pulse University 2022, 2022-11-02, technician, 5
3, Pulse University 2022, 2022-11-22, security, 1
3, Pulse University 2022, 2022-11-22, support, 1
3, Pulse University 2022, 2022-11-22, technician, 2
4, Pulse University 2021, 2021-01-19, security, 1
4, Pulse University 2021, 2021-01-19, support, 1
4, Pulse University 2021, 2021-01-19, technician, 4
4, Pulse University 2021, 2021-01-26, security, 1
4, Pulse University 2021, 2021-01-26, support, 1
4, Pulse University 2021, 2021-01-26, technician, 5
4, Pulse University 2021, 2021-02-08, security, 1
4, Pulse University 2021, 2021-02-08, support, 1
4, Pulse University 2021, 2021-02-08, technician, 4
4, Pulse University 2021, 2021-03-09, security, 1
4, Pulse University 2021, 2021-03-09, support, 1
4, Pulse University 2021, 2021-03-09, technician, 2
4, Pulse University 2021, 2021-03-18, security, 1
4, Pulse University 2021, 2021-03-18, support, 1
4, Pulse University 2021, 2021-03-18, technician, 2
4, Pulse University 2021, 2021-04-30, security, 1
4, Pulse University 2021, 2021-04-30, support, 1
4, Pulse University 2021, 2021-04-30, technician, 4
4, Pulse University 2021, 2021-10-18, security, 1
4, Pulse University 2021, 2021-10-18, support, 1
4, Pulse University 2021, 2021-10-18, technician, 5
4, Pulse University 2021, 2021-10-26, security, 1
4, Pulse University 2021, 2021-10-26, support, 1
4, Pulse University 2021, 2021-10-26, technician, 4
4, Pulse University 2021, 2021-11-13, security, 1
4, Pulse University 2021, 2021-11-13, support, 1
4, Pulse University 2021, 2021-11-13, technician, 2
4, Pulse University 2021, 2021-12-04, security, 1
4, Pulse University 2021, 2021-12-04, support, 1
4, Pulse University 2021, 2021-12-04, technician, 4
5, Pulse University 2020, 2020-01-11, security, 1
5, Pulse University 2020, 2020-01-11, support, 1
5, Pulse University 2020, 2020-01-11, technician, 3
5, Pulse University 2020, 2020-01-25, security, 1
5, Pulse University 2020, 2020-01-25, support, 1
5, Pulse University 2020, 2020-01-25, technician, 5
5, Pulse University 2020, 2020-06-19, security, 1
5, Pulse University 2020, 2020-06-19, support, 1
5, Pulse University 2020, 2020-06-19, technician, 3
5, Pulse University 2020, 2020-07-08, security, 1
5, Pulse University 2020, 2020-07-08, support, 1
5, Pulse University 2020, 2020-07-08, technician, 4
5, Pulse University 2020, 2020-07-31, security, 1
5, Pulse University 2020, 2020-07-31, support, 1
5, Pulse University 2020, 2020-07-31, technician, 5
5, Pulse University 2020, 2020-08-20, security, 1
5, Pulse University 2020, 2020-08-20, support, 1
5, Pulse University 2020, 2020-08-20, technician, 5
5, Pulse University 2020, 2020-10-06, security, 1
5, Pulse University 2020, 2020-10-06, support, 1
5, Pulse University 2020, 2020-10-06, technician, 2
5, Pulse University 2020, 2020-10-10, security, 1
5, Pulse University 2020, 2020-10-10, support, 1
5, Pulse University 2020, 2020-10-10, technician, 3
6, Pulse University 2019, 2019-06-22, security, 1
6, Pulse University 2019, 2019-06-22, support, 1
6, Pulse University 2019, 2019-06-22, technician, 3
6, Pulse University 2019, 2019-07-19, security, 1
6, Pulse University 2019, 2019-07-19, support, 1
6, Pulse University 2019, 2019-07-19, technician, 2
6, Pulse University 2019, 2019-08-07, security, 1
6, Pulse University 2019, 2019-08-07, support, 1
6, Pulse University 2019, 2019-08-07, technician, 4
6, Pulse University 2019, 2019-08-10, security, 1
6, Pulse University 2019, 2019-08-10, support, 1
6, Pulse University 2019, 2019-08-10, technician, 5
6, Pulse University 2019, 2019-12-08, security, 1
6, Pulse University 2019, 2019-12-08, support, 1
6, Pulse University 2019, 2019-12-08, technician, 2
7, Pulse University 2018, 2018-02-28, security, 1
7, Pulse University 2018, 2018-02-28, support, 1
7, Pulse University 2018, 2018-02-28, technician, 5
7, Pulse University 2018, 2018-03-26, security, 1
7, Pulse University 2018, 2018-03-26, support, 1
7, Pulse University 2018, 2018-03-26, technician, 4
7, Pulse University 2018, 2018-06-02, security, 1
7, Pulse University 2018, 2018-06-02, support, 1
7, Pulse University 2018, 2018-06-02, technician, 4
7, Pulse University 2018, 2018-06-27, security, 1
7, Pulse University 2018, 2018-06-27, support, 1
7, Pulse University 2018, 2018-06-27, technician, 4
7, Pulse University 2018, 2018-07-31, security, 1
7, Pulse University 2018, 2018-07-31, support, 1
7, Pulse University 2018, 2018-07-31, technician, 3
7, Pulse University 2018, 2018-11-12, security, 1
7, Pulse University 2018, 2018-11-12, support, 1
7, Pulse University 2018, 2018-11-12, technician, 4
7, Pulse University 2018, 2018-12-13, security, 1
7, Pulse University 2018, 2018-12-13, support, 1
7, Pulse University 2018, 2018-12-13, technician, 3
8, Pulse University 2017, 2017-02-27, security, 1
8, Pulse University 2017, 2017-02-27, support, 1
8, Pulse University 2017, 2017-02-27, technician, 5
8, Pulse University 2017, 2017-03-02, security, 1
8, Pulse University 2017, 2017-03-02, support, 1
8, Pulse University 2017, 2017-03-02, technician, 3
8, Pulse University 2017, 2017-04-18, security, 1
8, Pulse University 2017, 2017-04-18, support, 1
8, Pulse University 2017, 2017-04-18, technician, 2
8, Pulse University 2017, 2017-08-18, security, 1
8, Pulse University 2017, 2017-08-18, support, 1
8, Pulse University 2017, 2017-08-18, technician, 5
8, Pulse University 2017, 2017-10-11, security, 1
8, Pulse University 2017, 2017-10-11, support, 1
8, Pulse University 2017, 2017-10-11, technician, 4
8, Pulse University 2017, 2017-11-18, security, 1
8, Pulse University 2017, 2017-11-18, support, 1
8, Pulse University 2017, 2017-11-18, technician, 3
9, Pulse University 2026, 2026-02-09, security, 1
9, Pulse University 2026, 2026-02-09, support, 1
9, Pulse University 2026, 2026-02-09, technician, 4
9, Pulse University 2026, 2026-04-21, security, 1
9, Pulse University 2026, 2026-04-21, support, 1
9, Pulse University 2026, 2026-04-21, technician, 4
9, Pulse University 2026, 2026-05-27, security, 1
9, Pulse University 2026, 2026-05-27, support, 1
9, Pulse University 2026, 2026-05-27, technician, 2
9, Pulse University 2026, 2026-06-29, security, 1
9, Pulse University 2026, 2026-06-29, support, 1
9, Pulse University 2026, 2026-06-29, technician, 2
9, Pulse University 2026, 2026-09-22, security, 1
9, Pulse University 2026, 2026-09-22, support, 1
9, Pulse University 2026, 2026-09-22, technician, 2
9, Pulse University 2026, 2026-10-11, security, 1
9, Pulse University 2026, 2026-10-11, support, 1
9, Pulse University 2026, 2026-10-11, technician, 4
9, Pulse University 2026, 2026-12-02, security, 1
9, Pulse University 2026, 2026-12-02, support, 1
9, Pulse University 2026, 2026-12-02, technician, 2
9, Pulse University 2026, 2026-12-14, security, 1
9, Pulse University 2026, 2026-12-14, support, 1
9, Pulse University 2026, 2026-12-14, technician, 4
10, Pulse University 2027, 2027-01-29, security, 1
10, Pulse University 2027, 2027-01-29, support, 1
10, Pulse University 2027, 2027-01-29, technician, 5
10, Pulse University 2027, 2027-02-28, security, 1
10, Pulse University 2027, 2027-02-28, support, 1
10, Pulse University 2027, 2027-02-28, technician, 5
10, Pulse University 2027, 2027-03-16, security, 1
10, Pulse University 2027, 2027-03-16, support, 1
10, Pulse University 2027, 2027-03-16, technician, 3
10, Pulse University 2027, 2027-04-09, security, 1
10, Pulse University 2027, 2027-04-09, support, 1
10, Pulse University 2027, 2027-04-09, technician, 2
10, Pulse University 2027, 2027-05-19, security, 1
10, Pulse University 2027, 2027-05-19, support, 1
10, Pulse University 2027, 2027-05-19, technician, 5
10, Pulse University 2027, 2027-07-03, security, 1
10, Pulse University 2027, 2027-07-03, support, 1
10, Pulse University 2027, 2027-07-03, technician, 4
10, Pulse University 2027, 2027-08-19, security, 1
10, Pulse University 2027, 2027-08-19, support, 1
10, Pulse University 2027, 2027-08-19, technician, 2
10, Pulse University 2027, 2027-11-16, security, 1
10, Pulse University 2027, 2027-11-16, support, 1
10, Pulse University 2027, 2027-11-16, technician, 5
10, Pulse University 2027, 2027-11-17, security, 1
10, Pulse University 2027, 2027-11-17, support, 1
10, Pulse University 2027, 2027-11-17, technician, 2
10, Pulse University 2027, 2027-12-06, security, 1
10, Pulse University 2027, 2027-12-06, support, 1
10, Pulse University 2027, 2027-12-06, technician, 4
